,_id,Event,Latitude,Longitude,Date
12031,643de86b67b0dd3f92630de7,{'Date': '2008-01-26'},335645N,1181647W,2008-01-26
12032,643de86b67b0dd3f92630de8,{'Date': '2008-01-26'},393414N,0007702W,2008-01-26
12030,643de86b67b0dd3f92630de6,{'Date': '2008-01-26'},374957N,0972212W,2008-01-26
12033,643de86b67b0dd3f92630de9,{'Date': '2008-01-27'},031100N,0873130W,2008-01-27
12034,643de86b67b0dd3f92630dea,{'Date': '2008-01-27'},403233N,0872515W,2008-01-27
12035,643de86b67b0dd3f92630deb,{'Date': '2008-01-27'},381855N,0076330W,2008-01-27
12036,643de86b67b0dd3f92630dec,{'Date': '2008-01-27'},030260N,0101490W,2008-01-27
12037,643de86b67b0dd3f92630ded,{'Date': '2008-01-28'},304831N,0891129W,2008-01-28
12038,643de86b67b0dd3f92630dee,{'Date': '2008-01-28'},314435N,0084259W,2008-01-28
12039,643de86b67b0dd3f92630def,{'Date': '2008-01-28'},302914N,0089394W,2008-01-28
12040,643de86b67b0dd3f92630df0,{'Date': '2008-01-29'},245229N,0811348W,2008-01-29
12041,643de86b67b0dd3f92630df1,{'Date': '2008-01-29'},002604N,0801426W,2008-01-29
12042,643de86b67b0dd3f92630df2,{'Date': '2008-01-30'},033210N,1153110W,2008-01-30
12043,643de86b67b0dd3f92630df3,{'Date': '2008-01-30'},351250N,0805635W,2008-01-30
12044,643de86b67b0dd3f92630df4,{'Date': '2008-01-30'},341019N,0833338W,2008-01-30
12045,643de86b67b0dd3f92630df5,{'Date': '2008-01-30'},332548N,0865926W,2008-01-30
12046,643de86b67b0dd3f92630df6,{'Date': '2008-01-31'},264059N,0080544W,2008-01-31
12047,643de86b67b0dd3f92630df7,{'Date': '2008-01-31'},382353N,0772720W,2008-01-31
12048,643de86b67b0dd3f92630df8,{'Date': '2008-01-31'},322248N,0884220W,2008-01-31
12049,643de86b67b0dd3f92630df9,{'Date': '2008-02-01'},362748N,0080333W,2008-02-01
12050,643de86b67b0dd3f92630dfa,{'Date': '2008-02-01'},441415N,0069516W,2008-02-01
12051,643de86b67b0dd3f92630dfb,{'Date': '2008-02-01'},333445N,0011770W,2008-02-01
12052,643de86b67b0dd3f92630dfc,{'Date': '2008-02-01'},261154N,0801048W,2008-02-01
12055,643de86b67b0dd3f92630dff,{'Date': '2008-02-01'},037270N,0012260W,2008-02-01
12053,643de86b67b0dd3f92630dfd,{'Date': '2008-02-02'},345126N,0973511W,2008-02-02
12054,643de86b67b0dd3f92630dfe,{'Date': '2008-02-02'},475353N,1221710W,2008-02-02
12056,643de86b67b0dd3f92630e00,{'Date': '2008-02-02'},003401N,1164644W,2008-02-02
12059,643de86b67b0dd3f92630e03,{'Date': '2008-02-02'},345721N,1192648W,2008-02-02
12057,643de86b67b0dd3f92630e01,{'Date': '2008-02-03'},361652N,0804649W,2008-02-03
12058,643de86b67b0dd3f92630e02,{'Date': '2008-02-03'},395142N,1044023W,2008-02-03
12060,643de86b67b0dd3f92630e04,{'Date': '2008-02-03'},036222N,0095594W,2008-02-03
12061,643de86b67b0dd3f92630e05,{'Date': '2008-02-03'},035926N,1143334W,2008-02-03
12062,643de86b67b0dd3f92630e06,{'Date': '2008-02-03'},044148N,0881124W,2008-02-03
12063,643de86b67b0dd3f92630e07,{'Date': '2008-02-03'},285241N,0815627W,2008-02-03
12064,643de86b67b0dd3f92630e09,{'Date': '2008-02-04'},375135N,1124858W,2008-02-04
12067,643de86b67b0dd3f92630e0c,{'Date': '2008-02-05'},621736N,1532143W,2008-02-05
12065,643de86b67b0dd3f92630e0a,{'Date': '2008-02-05'},294524N,0945042W,2008-02-05
12066,643de86b67b0dd3f92630e0b,{'Date': '2008-02-05'},414129N,0933359W,2008-02-05
12068,643de86b67b0dd3f92630e0d,{'Date': '2008-02-06'},026820N,0971225W,2008-02-06
12069,643de86b67b0dd3f92630e0e,{'Date': '2008-02-06'},301124N,0097407W,2008-02-06
12070,643de86b67b0dd3f92630e0f,{'Date': '2008-02-06'},045412N,0924114W,2008-02-06
12071,643de86b67b0dd3f92630e10,{'Date': '2008-02-07'},335219N,0084184W,2008-02-07
12072,643de86b67b0dd3f92630e11,{'Date': '2008-02-07'},295755N,0081213W,2008-02-07
12073,643de86b67b0dd3f92630e12,{'Date': '2008-02-07'},060857N,0164178W,2008-02-07
12074,643de86b67b0dd3f92630e13,{'Date': '2008-02-08'},194241N,0155855W,2008-02-08
12078,643de86b67b0dd3f92630e17,{'Date': '2008-02-08'},331828N,1113919W,2008-02-08
12077,643de86b67b0dd3f92630e16,{'Date': '2008-02-08'},030359N,1042926W,2008-02-08
12080,643de86b67b0dd3f92630e19,{'Date': '2008-02-08'},030325N,0095336W,2008-02-08
12075,643de86b67b0dd3f92630e14,{'Date': '2008-02-08'},444115N,0123040W,2008-02-08
12076,643de86b67b0dd3f92630e15,{'Date': '2008-02-08'},029321N,0098287W,2008-02-08
12085,643de86b67b0dd3f92630e1e,{'Date': '2008-02-08'},383414N,0090922W,2008-02-08
12086,643de86b67b0dd3f92630e1f,{'Date': '2008-02-08'},324023N,0009765W,2008-02-08
