Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
Lily Aviation Corp.,2/10/2012,United States,"Miami, FL",Kendall-Tamiami,253852N,0802558W,VMC,0,0,0,1,Miami, FL,,,,,,
"International Jet Services, Inc.",2/11/2012,United States,"Wheatland, WY",Phifer Airfield,004233N,0104557W,VMC,0,0,0,4,Wheatland, WY,,,,,,
Kyle Martin,2/12/2012,United States,"Concrete, WA",Mears Field Airport,484532N,0121501W,VMC,0,1,0,1,Concrete, WA,,,,,,
COMMANDER 114 CORP,2/12/2012,United States,"Hilton Head, SC",Hilton Head Island Airport,321217N,0804131W,VMC,0,0,0,2,Hilton Head, SC,,,,,,
FEDERAL EXPRESS CORPORATION,2/13/2012,United States,"Portland, OR",PORTLAND INTL JETPORT,453521N,1223620W,Unk,0,0,0,0,Portland, OR,,,,,,
Auburn University,2/14/2012,United States,"Eufaula, AL",Weedon Field Airport,031576N,0008574W,VMC,0,0,0,2,Eufaula, AL,,,,,,
VALLEY AIR LLC,2/14/2012,United States,"Yellow Pine, ID",Stibnite Airport,445359N,1151958W,VMC,0,0,0,1,Yellow Pine, ID,,,,,,
CASWELL BRUCE,2/15/2012,United States,"South Charleston, WV",Mallory Airport,038204N,0814332W,VMC,0,2,0,0,South Charleston, WV,,,,,,
Arctic One Llc,2/16/2012,United States,"Iliamna, AK",Iliamna,594520N,1545539W,VMC,0,0,0,2,Iliamna, AK,,,,,,
ZAIDI GOHAR,2/16/2012,United States,"Fort Lauderdale, FL",Fort Lauderale/Hollywood Intl,026421N,0080910W,VMC,0,0,0,2,Fort Lauderdale, FL,,,,,,
KROUSE DONALD E,2/17/2012,United States,"Lewiston, CA",Weaverville,404028N,1224937W,VMC,0,0,0,1,Lewiston, CA,,,,,,
Nitin D. Desai,2/17/2012,United States,"Fayetteville, NC",Fayetteville Regional Airport,034596N,0785322W,VMC,0,1,1,0,Fayetteville, NC,,,,,,
