Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
Costa Spraying Inc,1/1/2010,United States,"Tipton, CA",Visalia Municipal Airport,003648N,1191540W,VMC,0,1,0,0,Tipton, CA,Afghanistan,7,84, AK,48,650
FRATTONE CLIFFORD T,1/1/2010,United States,"Doylestown, PA",Doylestown Airport,401959N,0075720W,VMC,0,0,0,2,Doylestown, PA,Antarctica,0,181, AL,23,75
Ram Air Freight Inc.,1/1/2010,United States,"Concord, NC",Concord Regional,352330N,0804230W,IMC,0,0,0,1,Concord, NC,Antigua and Barbuda,4,0, AR,12,90
"Locair, Inc",1/2/2010,United States,"Somerset, KY",Lake Cumberland Regional,037313N,0843656W,VMC,0,0,0,3,Somerset, KY,Argentina,2,0, AZ,63,819
Michael K. Fuqua,1/3/2010,United States,"Fallbrook, CA",Fallbrook Community Airpark,332115N,0117153W,VMC,0,0,0,1,Fallbrook, CA,Bahamas,26,10, CA,91,3478
"American King Air Services, Inc.",1/4/2010,United States,"Greenbush, ME",Dewitt Field,045735N,0683745W,VMC,1,0,0,0,Greenbush, ME,Belgium,0,2, CO,25,939
ABA Sky Inc,1/4/2010,Palau,"Palau International Airport, Palau",Palau International Airport,007222N,1343240E,VMC,0,0,0,4,Palau International Airport, Palau,Brazil,49,41, CT,17,87
California Department of Fish and Game,1/5/2010,United States,"Auberry, CA",Trimmer Heliport,037847N,1192740W,VMC,4,0,0,0,Auberry, CA,Canada,10,6, DC,0,67
PINNACLE AVIATION SERVICES INC,1/6/2010,United States,"Ramona, CA",Ramona Airport,033221N,1165454W,VMC,0,1,0,0,Ramona, CA,Chile,3,0, DE,4,17
Clint Vanderhoof,1/6/2010,United States,"Metaline Falls, WA",Sullivan Lake State Airport,485027N,0117172W,VMC,0,0,0,4,Metaline Falls, WA,Colombia,29,31, FL,89,2858
"Ameriflight, LLC",1/6/2010,United States,"Kearney, NE",Kearney Regional Airport,404337N,0099024W,IMC,0,0,0,1,Kearney, NE,Dominican Republic,4,0, GA,28,2271
SAADEH MAMDOUH,1/6/2010,United States,"Auburn, AL",Auburn-Opelika Airport,323632N,0085261W,VMC,0,0,0,1,Auburn, AL,Eswatini,3,3, HI,23,702
Danny R. Brignac,1/7/2010,United States,"Palm Springs, CA",Jacqueline Cochran Regional,333736N,0116934W,VMC,0,1,0,0,Palm Springs, CA,France,0,123, ID,15,168
LARSON CARROLL B,1/8/2010,United States,"Sequim, WA",Sequim Valley Airport,048553N,1231113W,VMC,2,0,0,0,Sequim, WA,Germany,0,2, IL,18,2403
Aerotaxis dos mil,1/8/2010,United States,"Eagle, CO",Eagle County Airport,393822N,1065625W,VMC,0,0,0,7,Eagle, CO,Guyana,2,0, IN,14,97
Patrick Zrelak,1/8/2010,United States,"Apple Valley, CA",Apple Valley,343431N,1171110W,VMC,0,0,0,2,Apple Valley, CA,Haiti,3,0, KS,12,85
Samuel D McGowan,1/9/2010,United States,"Chico, CA",Ranchaero,039430N,0121520W,IMC,0,2,0,0,Chico, CA,Honduras,3,0, KY,7,119
OLSON ROBERT B,1/9/2010,United States,"Bayport, NY",Bayport Aerodrome,404531N,0073313W,VMC,0,0,0,2,Bayport, NY,Hungary,0,3, LA,23,392
VAN KAMPEN ANTHONY J,1/10/2010,United States,"New London, WI",Northport Airport,044238N,0088514W,VMC,0,2,0,0,New London, WI,Italy,2,0, MA,13,705
UNITED AIR LINES INC,1/10/2010,United States,"Newark, NJ",Newark,404426N,0741011W,VMC,0,3,0,50,Newark, NJ,Japan,0,2, MD,15,620
John Tillotson,1/13/2010,United States,"Urbana, IL",Frasca Field,040828N,0881132W,VMC,0,0,0,2,Urbana, IL,Kyrgyzstan,0,160, ME,10,62
Foster John W,1/13/2010,United States,"Oxford, CT",Waterbury-Oxford Arpt,412843N,0007387W,VMC,1,0,0,0,Oxford, CT,Lebanon,90,0, MI,33,524
GOSPEL MINISTRIES INTERNATIONAL,1/14/2010,United States,"Collegedale, TN",Collegedale,035223N,0085119W,VMC,0,1,0,0,Collegedale, TN,Netherlands,0,0, MN,12,899
Joshua Gray,1/14/2010,United States,"Napa, CA",Napa County Airport,381247N,1221650W,VMC,0,0,0,1,Napa, CA,Obyan,0,0, MO,25,631
Air Methods,1/17/2010,United States,"Reno, NV",Washoe Medical Center Heliport,393134N,1194746W,VMC,0,0,0,3,Reno, NV,Pakistan,0,0, MT,8,82
Tulip City Air Service,1/17/2010,United States,"Holland, MI",Tulip City,424032N,0086732W,IMC,2,0,0,0,Holland, MI,Palau,0,4, NC,23,1505
FISHER PHILIP,1/17/2010,United States,"Cedar Rapids, IA",Eastern Iowa,041535N,0914239W,IMC,0,2,1,0,Cedar Rapids, IA,Papua New Guinea,4,0, ND,1,47
"Liberty Helicopters, Inc.",1/18/2010,United States,"New York, NY",West 30th Street Heliport,404516N,0074025W,VMC,0,0,0,1,New York, NY,Peru,6,11, NE,12,33
Douglas L. Tindal,1/18/2010,United States,"Cedar Rapids, IA",Cedar Rapids,041534N,0914238W,IMC,0,1,0,0,Cedar Rapids, IA,Philippines,12,0, NH,2,294
UNITED STATES DEPARTMENT OF INTERIOR,1/18/2010,United States,"Corvallis, OR",Corvallis Municipal Airport,443345N,1232650W,VMC,2,0,0,0,Corvallis, OR,Portugal,6,0, NJ,10,814
MITTS Corp,1/18/2010,United States,"Elyria, OH",Lorain County Regional Airport,412024N,0821137W,IMC,4,0,0,0,Elyria, OH,Qatar,1,7, NM,33,71
William S. Moser,1/18/2010,United States,"Springfield, TN",Springfield Robertson County,036328N,0086559W,VMC,0,0,1,0,Springfield, TN,Russia,0,8, NV,29,1072
Yute Air Taxi,1/19/2010,United States,"Bethel, AK",Bethel,604647N,1615017W,VMC,0,0,0,3,Bethel, AK,Spain,3,4, NY,33,2767
Blue Cross and Blue Shield of Iowa,1/19/2010,United States,"Sioux City, IA",Sioux Gateway Airport/Col. Bud,422515N,0962324W,IMC,0,0,0,4,Sioux City, IA,Sweden,1,1, OH,31,494
PSA AIRLINES INC,1/19/2010,United States,"Charleston, WV",Yeager Airport,382058N,0813749W,VMC,0,0,0,34,Charleston, WV,Turks And Caicos,0,0, OK,22,222
WENCK KENT W,1/21/2010,United States,"Cherokee, IA",Cherokee County Regional,424352N,0953321W,IMC,0,0,0,2,Cherokee, IA,UN,0,220, OR,16,155
ALPER GERT,1/21/2010,United States,"Great Barrington, MA",Walter J Kolazda Airport,042113N,0732416W,VMC,0,0,0,1,Great Barrington, MA,United Kingdom,0,0, PA,19,1204
"Alaska Central Express, Inc.",1/22/2010,United States,"Sand Point, AK",Sand Point,551958N,1603228W,VMC,2,0,0,0,Sand Point, AK,United States,1107,33168, PR,7,36
TWOHY TIMOTHY D,1/23/2010,United States,"Nightmute, AK",Nightmute Airport,602815N,0164423W,VMC,0,0,0,1,Nightmute, AK,Venezuela,2,10, RI,0,7
Gary L. Bradford,1/24/2010,United States,"Sugar Grove, IL",Aurora Municipal Airport,041486N,0882742W,IMC,2,0,0,0,Sugar Grove, IL, KS,12,85, SC,15,162
Ethiopian Airlines,1/25/2010,Lebanon,"Beirut, Lebanon",Rafic Hariri International,394916N,0352918E,IMC,90,0,0,0,Beirut, Lebanon, KY,7,119, SD,8,157
BGE ENTERPRISES LLC,1/26/2010,United States,"Russellville, AR",Russellville Regional Airport,351532N,0093535W,VMC,0,0,0,1,Russellville, AR, Kyrgyzstan,0,160, TN,11,438
Nelson Woodward,1/26/2010,United States,"Taunton, MA",Taunton Municipal Airport,415228N,0007110W,VMC,0,0,0,1,Taunton, MA, LA,23,392, TX,91,2030
Donald H. Sefton,1/27/2010,United States,"Fallon, NV",Fallon Municipal Airport,392956N,1184455W,VMC,0,0,0,2,Fallon, NV, Las Americas,4,0, UT,26,237
Transpac Aviation Academy,1/28/2010,United States,"Phoenix, AZ",Phoenix Deer Valley Airport,334125N,0112657W,IMC,1,0,0,0,Phoenix, AZ, Lebanon,90,0, VA,26,784
Pleasant Valley Aviation,1/30/2010,United States,"Pullman, WA",Pullman-Moscow Regional,464426N,0117612W,VMC,0,0,0,1,Pullman, WA, MA,13,705, VT,1,138
Chapter 163 Flying Club,1/30/2010,United States,"Pahrump, NV",North Las Vegas Airport,003640N,1154830W,VMC,0,0,0,2,Pahrump, NV, MD,15,620, WA,13,510
Earl R. Griffin,1/30/2010,United States,"Crystal, NV",Crystal,361810N,0116030W,VMC,0,0,0,1,Crystal, NV, ME,10,62, WI,13,377
Carl W. Rose,1/30/2010,United States,"Westmoreland, TN",Private Strip,363518N,0086107W,VMC,0,0,0,2,Westmoreland, TN, MI,33,524, WV,4,79
Ben Knapp,1/31/2010,United States,"Skwentna, AK",na,613350N,1513328W,VMC,0,1,0,0,Skwentna, AK, MN,12,899, WY,2,246
HYANNIS AIR LEASING INC,2/1/2010,United States,"Watertown, NY",Watertown International,435918N,0076111W,VMC,0,0,0,7,Watertown, NY, MO,25,631,,,
ZIA CONSULTING INC,2/1/2010,United States,"Reserve, NM",Reserve Airport,334139N,1085058W,VMC,0,0,0,1,Reserve, NM, MS,9,31,,,
MISSOURI FORGE INC,2/4/2010,United States,"Columbia, MO",Columbia Regional,038495N,0921311W,VMC,0,0,0,2,Columbia, MO, MT,8,82,,,
MID-COAST AIR CHARTER INC,2/4/2010,United States,"Amarillo, TX",Amarillo International,035139N,1014221W,IMC,0,0,0,4,Amarillo, TX," Maui, HI",0,2,,,
COOPER AVIATION LLC,2/6/2010,United States,"Winslow, AR",Drake Field Airport,035507N,0094854W,IMC,4,0,0,0,Winslow, AR, NC,23,1505,,,
THERIAULT RICHARD C,2/6/2010,United States,"Fort Pierce, FL",St. Lucie County International,272930N,0802213W,VMC,0,0,0,1,Fort Pierce, FL, ND,1,47,,,
Fundacion Amazonia Verde,2/6/2010,Spain,"Santiago, Spain",Mashuim,022817S,0781010W,VMC,0,0,0,1,Santiago, Spain, NE,12,33,,,
PARAGON FLIGHT TRAINING CENTERS LTD,2/7/2010,United States,"Fort Myers, FL",Page Field Airport,263512N,0815148W,VMC,0,0,0,1,Fort Myers, FL, NH,2,294,,,
Evert T Snow,2/7/2010,United States,"Canon, GA",Franklin County,342025N,0083750W,VMC,0,0,0,1,Canon, GA, NJ,10,814,,,
Gerhardt C Soeffker,2/10/2010,United States,"Everett, WA",Paine Field,475725N,1221653W,VMC,0,0,0,1,Everett, WA, NM,33,71,,,
SunQuest Aviation,2/11/2010,United States,"Brunswick, GA",Malcolm McKinnon Airport,003196N,0812328W,VMC,0,0,1,0,Brunswick, GA, NV,29,1072,,,
ARI BEN AVIATOR INC,2/11/2010,United States,"Fort Pierce, FL",Saint Lucie County,272951N,0802213W,VMC,0,0,0,1,Fort Pierce, FL, NY,33,2767,,,
"Mayes Aviation, LLC.",2/12/2010,United States,"Forest City, IA",Forest City Municipal Airport,043145N,0933727W,VMC,1,0,0,0,Forest City, IA, Netherlands (the),0,0,,,
Maryland State Police,2/12/2010,United States,"Cheverly, MD",Prince George's Hospital,385549N,0765512W,VMC,0,0,0,2,Cheverly, MD, OF Obyan,0,0,,,
SOUTHWEST AIRLINES CO,2/13/2010,United States,"Santa Clarita, CA",Bob Hope,342750N,1183049W,VMC,0,1,1,83,Santa Clarita, CA, OH,31,494,,,
CONNECTICUT FLYERS INC,2/14/2010,United States,"Alton Bay, NH",Alton Bay Seaplane Base,432839N,0711413W,VMC,0,0,0,3,Alton Bay, NH, OK,22,222,,,
KINGSBURY RALPH E JR,2/14/2010,United States,"La Porte, TX",La Porte Municipal,029405N,0095351W,VMC,0,0,0,1,La Porte, TX, OR,16,155,,,
SKYWEST AIRLINES INC,2/16/2010,United States,"Los Angeles, CA",Los Angeles International,335632N,1182351W,VMC,0,0,0,31,Los Angeles, CA, PA,19,1204,,,
William Ellett,2/17/2010,United States,"Amarillo, TX",Tradewind Airport,035639N,1014426W,VMC,2,0,0,0,Amarillo, TX, PR,7,36,,,
Reginald Finch,2/17/2010,United States,"Imperial, CA",Imperial County,032503N,1153443W,VMC,0,0,0,1,Imperial, CA, Pakistan,0,0,,,
Grant Aviation,2/17/2010,United States,"Kwigillingok, AK",Kwigillingok Airport,595235N,0163107W,VMC,0,0,0,8,Kwigillingok, AK, Palau,0,4,,,
TLC FLYING INC,2/18/2010,United States,"Colfax, WA",Port of Whitman,465131N,1172450W,VMC,0,0,0,1,Colfax, WA, Papua New Guinea,4,0,,,
Kent Lewis,2/18/2010,United States,"Aurora, OR",Aurora State,451449N,1224612W,VMC,0,0,0,6,Aurora, OR, Peru,6,11,,,
PARISH HAVNER H JR,2/18/2010,United States,"Carthage, NC",Moore County,035149N,0792311W,VMC,0,1,0,0,Carthage, NC, Philippines,12,0,,,
WEST AIR INC,2/19/2010,United States,"Sacramento, CA",Sacramento International,384143N,1213526W,VMC,0,0,0,1,Sacramento, CA, Portugal,6,0,,,
Stephen J. Sinclair,2/20/2010,United States,"Mesa, AZ",Falcon Field,332739N,1114342W,VMC,0,0,0,1,Mesa, AZ, Qatar,1,7,,,
BIG SKY INC,2/21/2010,United States,"Nashville, TN",Nashville International,036717N,0864025W,VMC,0,0,0,4,Nashville, TN," Quebec, Canada",1,0,,,
"Mach II Aviation Services, Inc",2/21/2010,United States,"Lockhart, TX",Lockhart Municipal,029511N,0974021W,VMC,0,0,0,2,Lockhart, TX, RI,0,7,,,
Anthony Caragol,2/22/2010,United States,"Oregon City, OR",Aeroacres,451859N,1223619W,VMC,0,0,0,1,Oregon City, OR, Russia,0,8,,,
"Haley Flying Service, Inc.",2/23/2010,United States,"Byron, CA",Haley F.S. Airstrip,373126N,1212016W,VMC,0,0,0,1,Byron, CA, SC,15,162,,,
KMT CONSULTANTS INC,2/23/2010,United States,"Springfield, KY",Lebanon-Springfield,037386N,0085164W,IMC,1,0,0,0,Springfield, KY, SD,8,157,,,
Utah Valley University,2/23/2010,United States,"Delta, UT",Delta Municipal,391724N,1123333W,VMC,0,0,0,1,Delta, UT, Spain,3,4,,,
ARI BEN AVIATOR INC,2/23/2010,United States,"Fort Pierce, FL",St Lucie County International,272957N,0802139W,VMC,0,0,0,1,Fort Pierce, FL," State of Para, Brazil",1,0,,,
Charles P. Riesselmann,2/23/2010,United States,"Greeley, CO",Greeley-Weld County,040259N,0104380W,VMC,0,0,0,1,Greeley, CO, Sweden,1,1,,,
BEMIDJI AVIATION SERVICES INC,2/24/2010,United States,"Minneapolis, MN",Minneapolis-St Paul Intl,445255N,0931318W,VMC,0,0,0,2,Minneapolis, MN, TN,11,438,,,
Bombardier Flexjet,2/24/2010,United States,"Wheeling, IL",Chicago Executive Airport,042651N,0087545W,VMC,0,0,0,2,Wheeling, IL, TX,91,2030,,,
"Tailwheels ETC, Inc.",2/25/2010,United States,"Winter Haven, FL",Winter Haven's Gilbert Airport,028355N,0814546W,VMC,2,0,0,0,Winter Haven, FL, Turks And Caicos,0,0,,,
"James Price, Jr.",2/27/2010,United States,"Gatesville, TX",City-County,031142N,0094450W,VMC,1,0,0,0,Gatesville, TX, UN,0,220,,,
Pilot,2/27/2010,United States,"Maple Lake, MN",Maple Lake Municipal Airport,451410N,0093598W,VMC,0,0,0,2,Maple Lake, MN, UT,26,237,,,
WPG Fasteners Inc.,2/27/2010,United States,"Grove City, PA",Grove City,041846N,0080104W,VMC,0,3,0,0,Grove City, PA, United Kingdom,0,0,,,
"Double A-C, LLC",2/28/2010,United States,"Bristow, OK",Jones Memorial,354835N,0962525W,VMC,2,0,0,0,Bristow, OK, VA,26,784,,,
Charles B. McDougal,3/1/2010,United States,"Falfurrias, TX",Brooks County,271312N,0098823W,VMC,0,0,0,2,Falfurrias, TX, VT,1,138,,,
Michael Rosenberg,3/1/2010,United States,"Gaithersburg, MD",Montgomery Country Airpark,039106N,0077958W,VMC,0,0,0,1,Gaithersburg, MD, Venezuela,0,3,,,
Franklin Mew,3/1/2010,United States,"Greensboro, NC",Piedmont Triad International,003665N,0795617W,VMC,0,0,0,1,Greensboro, NC, WA,13,510,,,
ARI BEN AVIATOR INC,3/1/2010,United States,"Ft. Pierce, FL",Sant Lucie County Intl,272950N,0802221W,VMC,0,0,0,2,Ft. Pierce, FL, WI,13,377,,,
Eagle Air Transport,3/2/2010,United States,"DeKalb, IL",De Kalb Taylor Municipal Airpo,415322N,0884457W,VMC,0,0,0,2,DeKalb, IL, WV,4,79,,,
Pilot,3/2/2010,United States,"Lowell, MI",Lowell City Airport,425714N,0852038W,VMC,0,0,0,1,Lowell, MI, WY,2,246,,,
RODRIGUEZ RICHARD,3/3/2010,United States,"Mayaguez, PR",Eugenio Maria de Hostos,181520N,0067854W,VMC,1,0,0,0,Mayaguez, PR,,,,,,
James A Youngquist,3/4/2010,United States,"Louisa, VA",Louisa County Airport,038051N,0775916W,VMC,1,0,0,0,Louisa, VA,,,,,,
Michael E. Albertson,3/4/2010,United States,"Buena, WA",Buena,462635N,1202027W,VMC,0,0,1,0,Buena, WA,,,,,,
AMERICAN EDUCATIONAL COMPLEX,3/4/2010,United States,"Hearne, TX",Hearne Municiple,305211N,0963711W,VMC,0,0,0,1,Hearne, TX,,,,,,
"Paris Air, Inc",3/5/2010,United States,"Vero Beach, FL",Vero Beach Municipal Airport,273920N,0080254W,VMC,0,0,2,0,Vero Beach, FL,,,,,,
GAUTREAU ARTHUR G,3/5/2010,United States,"Savannah, GA",McLendon,032224N,0811051W,VMC,1,0,0,0,Savannah, GA,,,,,,
DECKER RICHARD A,3/5/2010,United States,"Onalaska, WA",Onalaska - Private,046349N,0122376W,VMC,0,0,0,1,Onalaska, WA,,,,,,
MACARTHUR AIR INCORPORATED,3/5/2010,United States,"Poughkeepsie, NY",Dutchess County Airport,413735N,0073533W,VMC,0,0,0,1,Poughkeepsie, NY,,,,,,
SMOKEY BAY AIR INC,3/5/2010,United States,"Nanwalek, AK",Nanwalek Airport,592112N,1515550W,VMC,0,0,0,2,Nanwalek, AK,,,,,,
Pilot,3/6/2010,United States,"Martinsville, IN",McDaniel's Field,392432N,0862639W,VMC,0,0,0,4,Martinsville, IN,,,,,,
AIR 51 RICHMOND LLC,3/6/2010,United States,"Mount Sterling, KY",Mount Sterling Airport,038329N,0835847W,VMC,0,0,0,1,Mount Sterling, KY,,,,,,
CHANNEL ISLANDS AVIATION INC,3/7/2010,United States,"Camarillo Airport, CA",Camarillo Airport,341249N,0119539W,VMC,0,0,0,1,Camarillo Airport, CA,,,,,,
Travis Scott,3/7/2010,United States,"St. Johns, AZ",St. Johns Industrial Airpark,034316N,1092243W,VMC,0,0,0,2,St. Johns, AZ,,,,,,
Scott D. Fisher,3/7/2010,United States,"Rigby, ID",Rigby-Jefferson Co Arpt,433833N,1115545W,VMC,0,0,0,1,Rigby, ID,,,,,,
Flying Tigers Flight School,3/7/2010,United States,"Baytown, TX",RWJ Airpark,294424N,0945738W,VMC,0,0,0,2,Baytown, TX,,,,,,
BYLER MARK A,3/8/2010,United States,"New Paris, IN",Goshen Municipal Airport,041300N,0854948W,VMC,0,0,0,1,New Paris, IN,,,,,,
North Eastern Aviation Corporation,3/10/2010,United States,"Farmingdale, NY",Republic Airport,404344N,0732448W,VMC,0,0,0,5,Farmingdale, NY,,,,,,
Jon P. Sanders,3/10/2010,United States,"Seguin, TX",Huber Airpark,293612N,0975926W,VMC,0,0,1,0,Seguin, TX,,,,,,
Corpreca SA,3/10/2010,Honduras,"Tegucigalpa, Honduras",Toncontin International Airpor,001442N,0871536W,VMC,3,0,0,0,Tegucigalpa, Honduras,,,,,,
"Hetrick Air Services, Inc",3/10/2010,United States,"Lawrence, KS",Lawrence Municipal Airport,039040N,0951259W,VMC,0,0,0,1,Lawrence, KS,,,,,,
Collier Mosquito Control District,3/11/2010,United States,"Naples, FL",Naples Municipal Airport,002698N,0814633W,VMC,0,0,0,2,Naples, FL,,,,,,
Hirani Oil Arizona LLC,3/11/2010,United States,"Chandler, AZ",Stellar Airpark,331756N,1115456W,VMC,1,0,0,0,Chandler, AZ,,,,,,
Golden State Flying Club,3/13/2010,United States,"El Cajon, CA",Gillespie Field,324934N,1165821W,VMC,0,0,0,2,El Cajon, CA,,,,,,
Brett Beukens,3/13/2010,United States,"Boulder City, NV",Boulder City Municipal,355631N,1145031W,VMC,1,0,0,0,Boulder City, NV,,,,,,
EXPRESSJET AIRLINES INC,3/13/2010,United States,"Chicago, IL",Chicago O'Hare IAP,414950N,0874337W,VMC,0,0,0,45,Chicago, IL,,,,,,
Rotor Envy Helicopters,3/13/2010,United States,"Houston, TX",Ellington Field Airport,293626N,0095931W,VMC,0,0,0,1,Houston, TX,,,,,,
"N52630, LLC",3/13/2010,United States,"Long Beach, CA",Long Beach,033494N,0011896W,VMC,0,0,0,1,Long Beach, CA,,,,,,
PRICE STANLEY D,3/13/2010,United States,"Cameron, TX",Cameron Municipal Airpark,305245N,0965815W,VMC,0,0,0,1,Cameron, TX,,,,,,
SERENITY TRANSPORT LLC,3/13/2010,United States,"Okeechobee, FL",River Acres Airport,271931N,0081143W,VMC,0,0,0,1,Okeechobee, FL,,,,,,
RIVERSIDE AVIATION INC,3/15/2010,United States,"Waupaca, WI",Waupaca Municipal Airport,441959N,0089111W,VMC,0,0,0,1,Waupaca, WI,,,,,,
Servant Air Inc.,3/15/2010,United States,"Kodiak, AK",Kodiak,057450N,1522938W,VMC,0,1,2,0,Kodiak, AK,,,,,,
DELTA WHISKEY BRAVO INC,3/15/2010,United States,"Shelby, NC",Shelby-Cleveland Airport,351521N,0081362W,VMC,0,0,0,1,Shelby, NC,,,,,,
Omniflight Helicopters inc.,3/16/2010,United States,"Parker, AZ",Lapaz Regional Hospital Helpt,034812N,0114178W,VMC,0,0,0,3,Parker, AZ,,,,,,
Alfred F Goss,3/17/2010,United States,"Bakersfield, CA",Shafter-Minter Field,035232N,1191953W,VMC,2,0,0,0,Bakersfield, CA,,,,,,
PISCOYA THOMAS G,3/17/2010,United States,"Anchorage, AK",Lake Hood,611029N,1495811W,VMC,0,0,0,2,Anchorage, AK,,,,,,
PRATER KEITH B,3/17/2010,United States,"Eliza Island, WA",Eliz Island Airport,483914N,1223513W,VMC,0,0,0,2,Eliza Island, WA,,,,,,
LOCKWOOD AVIATION L P,3/17/2010,United States,"Okanogan, WA",Private,482227N,1193659W,VMC,0,0,0,2,Okanogan, WA,,,,,,
EARLS AVIATION INC,3/18/2010,United States,"Artesia, NM",Artesia Municipal Airport,031510N,0104280W,VMC,0,0,0,2,Artesia, NM,,,,,,
SALTZMAN JOHN,3/18/2010,United States,"Phoenix, AZ",Phoenix-Mesa Gateway Arpt,331828N,1113920W,VMC,0,0,0,2,Phoenix, AZ,,,,,,
Grover P. Best,3/18/2010,United States,"Arlington, WA",Arlington Municipal Arpt,048938N,0122932W,VMC,0,0,0,1,Arlington, WA,,,,,,
YOUNG ROBERT E,3/19/2010,United States,"Cartersville, GA",Cartersville Airport,034723N,0845055W,VMC,0,0,0,2,Cartersville, GA,,,,,,
Shane Sullivan,3/20/2010,United States,"Morton, WA",Strom Field Airport,046340N,1221841W,VMC,1,0,1,0,Morton, WA,,,,,,
MDS ENTERPRISES LLC,3/21/2010,United States,"Connelsville, PA",Connellsville,395733N,0793925W,VMC,0,0,0,3,Connelsville, PA,,,,,,
BIRD ACQUISITION LLC,3/21/2010,United States,"Phoenix, AZ",Phoenix Deer Valley Arpt,334117N,0112517W,VMC,0,0,0,3,Phoenix, AZ,,,,,,
Coy Gammage,3/21/2010,United States,"Lumberton, NJ",Flying W,039562N,0744816W,VMC,0,0,0,1,Lumberton, NJ,,,,,,
Academy of Aviation,3/21/2010,United States,"Farmingdale, NY",Republic Airport,404326N,0732429W,VMC,0,0,0,1,Farmingdale, NY,,,,,,
LOT-A-GO FIVE LLC,3/22/2010,United States,"Sugar Land, TX",Sugar Land Regional,293720N,0953923W,VMC,0,3,0,0,Sugar Land, TX,,,,,,
James A Williams,3/22/2010,United States,"Half Moon Bay, CA",Half Moon Bay,373049N,0122304W,VMC,0,0,0,1,Half Moon Bay, CA,,,,,,
TERRY TIRRELL,3/22/2010,United States,"Lillian, AL",Shields Airport,302630N,0872749W,VMC,0,0,1,0,Lillian, AL,,,,,,
BRISTOW U.S. LLC,3/22/2010,United States,"Galliano, LA",Air Logistics Galliano,292444N,0901740W,VMC,0,0,0,14,Galliano, LA,,,,,,
Terence R Cunningham,3/22/2010,United States,"Santa Barbara, CA",Santa Barbara Municipal Airpor,342534N,1195029W,VMC,0,0,0,4,Santa Barbara, CA,,,,,,
UNITED STATES AIR FORCE-OWNER,3/22/2010,United States,"Alamogordo, NM",Holloman Air Force Base,032516N,0106630W,VMC,0,0,0,0,Alamogordo, NM,,,,,,
Gary C. Mitchell,3/23/2010,United States,"Hollister, CA",Hollister Municipal Airport,365336N,1212437W,VMC,0,0,0,1,Hollister, CA,,,,,,
Daniel P. Brewer,3/23/2010,United States,"Malta, OH",PVT,394114N,0082024W,VMC,0,0,0,2,Malta, OH,,,,,,
Homer Air,3/23/2010,United States,"Homer, AK",Homer,593844N,1512836W,VMC,0,2,0,1,Homer, AK,,,,,,
KNOX LARRY D,3/25/2010,United States,"Lebanon, OR",Lebanon State,443140N,1225547W,VMC,0,1,0,0,Lebanon, OR,,,,,,
Daniel Miller,3/25/2010,United States,"Terry, MT",Terry Airport,464638N,1051847W,VMC,0,0,0,2,Terry, MT,,,,,,
DREWYER RICHARD G,3/25/2010,United States,"Annapolis, MD",Lee Airport,385620N,0076344W,VMC,0,0,0,1,Annapolis, MD,,,,,,
VAN VLEET RICHARD A,3/26/2010,United States,"Frazier Park, CA",Mojave Airport,034491N,0119013W,VMC,0,0,0,2,Frazier Park, CA,,,,,,
Lonestar Flyers,3/26/2010,United States,"Mckinney, TX",Collin County Regional Airport,331040N,0963526W,VMC,0,0,0,1,Mckinney, TX,,,,,,
FLORIDA FLIGHT TRAINING CENTER,3/26/2010,United States,"Venice, FL",Venice Municipal Airport,027418N,0822625W,VMC,0,0,0,1,Venice, FL,,,,,,
Golpa Gadoda,3/27/2010,United States,"Naples, FL",Naples Municipal Airport,002869N,0803842W,VMC,0,0,0,1,Naples, FL,,,,,,
Tidewater Flight Center,3/27/2010,United States,"Chesapeake, VA",Chesapeake Regional,363934N,0076198W,VMC,0,0,0,2,Chesapeake, VA,,,,,,
MEMORIAL AVIATION INC,3/27/2010,United States,"Houston, TX",Houston Southwest Airport,293013N,0952822W,VMC,0,0,0,2,Houston, TX,,,,,,
RANSOM WOODBURY  TRUSTEE,3/29/2010,United States,"Lansing, IA",PVT,043253N,0911858W,VMC,0,0,0,3,Lansing, IA,,,,,,
Peter Sheeran,3/30/2010,United States,"Roanoke, VA",Roanoke Regional/Woodrum Field,371947N,0795914W,VMC,1,0,1,0,Roanoke, VA,,,,,,
Cirrus Aviation,3/30/2010,United States,"Sarasota, FL",Sarasota/Bradenton Internation,272326N,0082339W,VMC,0,0,0,1,Sarasota, FL,,,,,,
Rhinelander Flying Service,3/31/2010,United States,"Ankeny, IA",Ankeny Regional,414128N,0093340W,VMC,0,0,0,2,Ankeny, IA,,,,,,
43BS LLC,3/31/2010,United States,"Sevierville, TN",Gatlinburg-Pigeon Forge,355116N,0833126W,VMC,0,0,0,3,Sevierville, TN,,,,,,
POELKING AIR LLC,4/1/2010,United States,"Dayton, OH",Dayton-Wright Brothers,393451N,0841345W,VMC,2,0,0,0,Dayton, OH,,,,,,
Michigan Sport Aviation LLC,4/1/2010,United States,"Algonac, MI",Oakland-Troy,433720N,0823424W,VMC,1,0,0,0,Algonac, MI,,,,,,
